Province,Year,GDP
02 Albacete,2020,7855556
03 Alicante/Alacant,2020,33979911
04 Almería,2020,14607070
01 Araba/Álava,2020,11731451
33 Asturias,2020,21319148
05 Ávila,2020,3076404
06 Badajoz,2020,11638254
07 Balears,2020,26198090
08 Barcelona,2020,160180344
48 Bizkaia,2020,32929019
09 Burgos,2020,9571028
10 Cáceres,2020,7201986
11 Cádiz,2020,20253717
39 Cantabria,2020,12852323
12 Castellón/Castelló,2020,14226621
13 Ciudad Real,2020,9995769
14 Córdoba,2020,13007297
15 Coruña,2020,25361458
16 Cuenca,2020,4195214
20 Gipuzkoa,2020,21835162
17 Girona,2020,19520752
18 Granada,2020,15802260
19 Guadalajara,2020,5047876
21 Huelva,2020,9243502
22 Huesca,2020,6277103
23 Jaén,2020,10675734
24 León,2020,9304383
25 Lleida,2020,11521909
27 Lugo,2020,6891215
28 Madrid,2020,219030504
29 Málaga,2020,28160097
30 Murcia,2020,29775480
31 Navarra,2020,18937439
32 Ourense,2020,6384529
34 Palencia,2020,4029182
35 Palmas,2020,19692679
36 Pontevedra,2020,20025926
26 Rioja,2020,8105603
37 Salamanca,2020,6622699
38 Santa Cruz de Tenerife,2020,18937445
40 Segovia,2020,3179622
41 Sevilla,2020,37029412
42 Soria,2020,2285159
43 Tarragona,2020,21388438
44 Teruel,2020,3098690
45 Toledo,2020,12252188
46 Valencia/València,2020,56547166
47 Valladolid,2020,13541411
49 Zamora,2020,3226677
50 Zaragoza,2020,26145786
51 Ceuta,2020,1655168
52 Melilla,2020,1514009
