,"Total","Analfabetos","Primaria","Secundaria1","Secundaria2","Secundaria3","Superior","Doctorado"
"        2012TI","5639.5","57.9","1018.0","2115.6","1323.2","2.0","1116.5","6.3"
"        2011TIV","5273.6","57.7","975.6","1922.8","1252.4","0.6","1058.0","6.5"
"        2011TIII","4978.3","59.2","933.2","1782.5","1187.5","2.9","1006.9","6.2"
"        2011TII","4833.7","56.2","940.7","1734.4","1173.8","1.0","921.3","6.4"
"        2011TI","4910.2","44.8","946.2","1781.8","1167.6","0.9","962.3","6.6"
"        2010TIV","4696.6","43.5","955.4","1686.8","1117.1","0.7","890.1","3.0"
"        2010TIII","4574.7","42.1","967.0","1640.9","1052.2","1.2","866.9","4.4"
"        2010TII","4645.5","52.4","998.5","1697.5","1068.9","1.6","821.0","5.6"
"        2010TI","4612.7","57.9","984.3","1688.1","1029.7","4.8","845.1","2.9"
"        2009TIV","4326.5","49.3","932.4","1599.1","979.3","3.5","760.3","2.5"
"        2009TIII","4123.3","44.9","880.5","1509.7","940.4","2.8","740.7","4.4"
"        2009TII","4137.5","45.3","876.1","1558.9","960.0","2.5","689.8","4.9"
"        2009TI","4010.7","49.3","848.7","1517.4","925.6","0.0","666.9","2.8"
"        2008TIV","3207.9","36.3","711.9","1182.5","739.5","1.7","532.3","3.7"
"        2008TIII","2598.8","37.1","582.0","948.8","552.4","2.0","472.2","4.3"
"        2008TII","2381.5","28.9","542.7","835.2","551.8","3.1","418.1","1.7"
"        2008TI","2174.2","27.8","495.2","753.1","491.0","1.3","402.3","3.6"
"        2007TIV","1927.6","22.1","403.1","678.9","436.3","2.2","382.0","3.0"
"        2007TIII","1791.9","19.9","353.3","618.9","433.8","1.5","361.8","2.5"
"        2007TII","1760.0","20.4","348.5","609.0","420.1","4.6","353.3","4.1"
"        2007TI","1856.1","21.7","346.8","662.7","434.4","1.0","382.8","6.8"
"        2006TIV","1810.6","14.8","341.7","638.6","419.7","1.6","389.7","4.5"
"        2006TIII","1765.0","14.0","312.6","634.0","407.8","1.3","391.3","4.1"
"        2006TII","1837.0","15.3","350.1","638.8","431.3","1.2","394.0","6.3"
"        2006TI","1935.8","19.9","361.8","685.1","416.9","1.1","447.3","3.6"
"        2005TIV","1841.3","13.0","340.5","656.1","392.0","2.0","435.2","2.4"
"        2005TIII","1765.0","22.2","333.7","603.8","373.2","0.5","428.7","2.9"
"        2005TII","1944.7","16.3","368.2","697.1","431.4","1.7","428.1","1.7"
"        2005TI","2099.0","17.3","434.7","689.8","483.1","3.1","468.9","1.9"
